date;India;Italy;US;Germany
2020-01-22;0;0;1;0
2020-01-23;0;0;1;0
2020-01-24;0;0;2;0
2020-01-25;0;0;2;0
2020-01-26;0;0;5;0
2020-01-27;0;0;5;1
2020-01-28;0;0;5;4
2020-01-29;0;0;5;4
2020-01-30;1;0;5;4
2020-01-31;1;2;7;5
2020-02-01;1;2;8;8
2020-02-02;2;2;8;10
2020-02-03;3;2;11;12
2020-02-04;3;2;11;12
2020-02-05;3;2;11;12
2020-02-06;3;2;11;12
2020-02-07;3;3;11;13
2020-02-08;3;3;11;13
2020-02-09;3;3;11;14
2020-02-10;3;3;11;14
2020-02-11;3;3;12;16
2020-02-12;3;3;12;16
2020-02-13;3;3;13;16
2020-02-14;3;3;13;16
2020-02-15;3;3;13;16
2020-02-16;3;3;13;16
2020-02-17;3;3;13;16
2020-02-18;3;3;13;16
2020-02-19;3;3;13;16
2020-02-20;3;3;13;16
2020-02-21;3;20;15;16
2020-02-22;3;62;15;16
2020-02-23;3;155;15;16
2020-02-24;3;229;15;16
2020-02-25;3;322;15;17
2020-02-26;3;453;15;27
2020-02-27;3;655;16;46
2020-02-28;3;888;16;48
2020-02-29;3;1128;24;79
2020-03-01;3;1694;30;130
2020-03-02;5;2036;52;159
2020-03-03;5;2502;72;196
2020-03-04;28;3089;103;262
2020-03-05;30;3858;172;482
2020-03-06;31;4636;215;670
2020-03-07;34;5883;337;799
2020-03-08;39;7375;450;1040
2020-03-09;43;9172;515;1176
2020-03-10;56;10149;713;1457
2020-03-11;62;12462;1105;1908
2020-03-12;73;15113;1530;2078
2020-03-13;82;17660;2115;3675
2020-03-14;102;21157;2814;4585
2020-03-15;113;24747;2986;5795
2020-03-16;119;27980;4354;7272
2020-03-17;142;31506;5970;9257
2020-03-18;156;35713;8386;12327
2020-03-19;194;41035;12674;15320
2020-03-20;244;47021;18736;19848
2020-03-21;330;53578;24508;22213
2020-03-22;396;59138;33152;24873
2020-03-23;499;63927;43850;29056
2020-03-24;536;69176;54112;32986
2020-03-25;657;74386;66055;37323
2020-03-26;727;80589;83611;43938
2020-03-27;887;86498;102101;50871
2020-03-28;987;92472;122059;57695
2020-03-29;1024;97689;141205;62095
2020-03-30;1251;101739;162707;66885
2020-03-31;1397;105792;188744;71808
2020-04-01;1998;110574;214205;77872
2020-04-02;2543;115242;244610;84794
2020-04-03;2567;119827;276547;91159
2020-04-04;3082;124632;309699;96092
2020-04-05;3588;128948;337573;100123
2020-04-06;4778;132547;367215;103374
2020-04-07;5311;135586;397992;107663
2020-04-08;5916;139422;429686;113296
2020-04-09;6725;143626;464442;118181
2020-04-10;7598;147577;497943;122171
2020-04-11;8446;152271;527969;124908
2020-04-12;9205;156363;556522;127854
2020-04-13;10453;159516;581813;130072
2020-04-14;11487;162488;608878;131359
2020-04-15;12322;165155;637974;134753
2020-04-16;13430;168941;669272;137698
2020-04-17;14352;172434;701996;141397
2020-04-18;15722;175925;730266;143342
2020-04-19;17615;178972;756544;145184
2020-04-20;18539;181228;783931;147065
2020-04-21;20080;183957;809295;148291
2020-04-22;21370;187327;837627;150648
2020-04-23;23077;189973;871617;153129
2020-04-24;24530;192994;907908;154999
2020-04-25;26283;195351;940829;156513
2020-04-26;27890;197675;968518;157770
2020-04-27;29451;199414;990983;158758
2020-04-28;31324;201505;1015518;159912
2020-04-29;33062;203591;1043038;161539
2020-04-30;34863;205463;1072667;163009
2020-05-01;37257;207428;1106829;164077
2020-05-02;39699;209328;1136024;164967
2020-05-03;42505;210717;1161611;165664
2020-05-04;46437;211938;1184086;166152
2020-05-05;49400;213013;1208271;167007
2020-05-06;52987;214457;1233527;168162
2020-05-07;56351;215858;1261409;169430
2020-05-08;59695;217185;1288587;170588
2020-05-09;62808;218268;1314320;171324
2020-05-10;67161;219070;1334084;171879
2020-05-11;70768;219814;1352962;172576
2020-05-12;74292;221216;1375152;173171
2020-05-13;78055;222104;1396110;174098
2020-05-14;81997;223096;1423727;174478
2020-05-15;85784;223885;1449027;175233
2020-05-16;90648;224760;1474128;175752
2020-05-17;95698;225435;1493132;176369
2020-05-18;100328;225886;1514901;176551
2020-05-19;106475;226699;1535350;177778
2020-05-20;112028;227364;1559157;178473
2020-05-21;118226;228006;1584512;179021
2020-05-22;124794;228658;1608653;179710
2020-05-23;131423;229327;1630476;179986
2020-05-24;138536;229858;1651289;180328
2020-05-25;144950;230158;1670280;180600
2020-05-26;150793;230555;1689163;181200
2020-05-27;158086;231139;1707445;181524
2020-05-28;165386;231732;1730260;182196
2020-05-29;173491;232248;1754764;182922
2020-05-30;181827;232664;1779214;183189
2020-05-31;190609;232997;1799124;183410
2020-06-01;198370;233197;1816479;183594
2020-06-02;207191;233515;1837374;183879
2020-06-03;216824;233836;1857332;184121
2020-06-04;226713;234013;1878683;184472
2020-06-05;236184;234531;1903907;184924
2020-06-06;246622;234801;1926639;185450
2020-06-07;257486;234998;1944370;185750
2020-06-08;265928;235278;1961785;186109
2020-06-09;276146;235561;1979912;186506
2020-06-10;286605;235763;2000706;186522
2020-06-11;297535;236142;2023656;186691
2020-06-12;308993;236305;2048986;187226
2020-06-13;320922;236651;2074542;187267
2020-06-14;332424;236989;2094366;187518
2020-06-15;343091;237290;2114026;187682
2020-06-16;354065;237500;2137731;188252
2020-06-17;366946;237828;2163290;188604
2020-06-18;380532;238159;2191099;189817
2020-06-19;395048;238011;2222579;190299
2020-06-20;410451;238275;2255328;190670
2020-06-21;425282;238499;2281767;191272
2020-06-22;440215;238720;2312303;191768
2020-06-23;456183;238833;2347491;192480
2020-06-24;473105;239410;2382426;192871
2020-06-25;490401;239706;2422299;193371
2020-06-26;508953;239961;2467554;194036
2020-06-27;528859;240136;2510259;194458
2020-06-28;548318;240310;2549864;194693
2020-06-29;566840;240436;2590668;195042
2020-06-30;585481;240578;2636414;195418
2020-07-01;604641;240760;2687588;195893
2020-07-02;625544;240961;2742049;196370
2020-07-03;648315;241184;2795361;196780
2020-07-04;673165;241419;2841241;197198
2020-07-05;697413;241611;2891124;197523
2020-07-06;719664;241819;2936077;198064
2020-07-07;742417;241956;2996098;198343
2020-07-08;767296;242149;3054699;198699
2020-07-09;793802;242363;3117946;199001
2020-07-10;820916;242639;3185737;199332
2020-07-11;849522;242827;3245925;199709
2020-07-12;878254;243061;3304942;199919
2020-07-13;906752;243230;3364157;200180
2020-07-14;936181;243344;3431574;200456
2020-07-15;968857;243506;3498902;200890
2020-07-16;1003832;243736;3576157;201450
2020-07-17;1039084;243967;3647715;202045
2020-07-18;1077781;244216;3711413;202426
2020-07-19;1118206;244434;3773260;202735
2020-07-20;1155338;244624;3834677;203325
2020-07-21;1193078;244752;3899211;203717
2020-07-22;1238798;245032;3970121;204276
